i,j,v
0,4,-538.1972992
0,122,-538.1972992
1,1,-585.7418735
1,2,0.295939468
1,4,80.11276294
1,121,80.11341155
2,1,0.29647745
2,2,-585.7399814
2,5,80.11276294
2,122,80.11341155
3,1,273.9563266
3,7,-273.9563266
3,125,-538.1972992
4,0,273.9563266
4,1,39.8723271
4,4,-357.9518322
4,5,0.755295614
4,6,-273.9563266
4,7,24.43524959
4,124,79.73303909
5,2,39.8723271
5,4,-0.337302669
5,5,-356.9770481
5,8,24.43524959
5,125,79.73303909
6,4,161.739309
6,10,-161.739309
6,128,-538.1972992
7,3,161.739309
7,4,14.02071136
7,7,-316.1507591
7,8,0.404314746
7,9,-161.739309
7,10,8.393871603
7,127,79.45076803
8,5,14.02071136
8,7,-0.087948838
8,8,-315.6073125
8,11,8.393871603
8,128,79.45076803
9,7,95.48824492
9,13,-95.48824492
9,131,-538.1972992
10,6,95.48824492
10,7,4.900597655
10,10,-301.2677688
10,11,0.203332284
10,12,-95.48824492
10,13,2.912068881
10,130,79.44038403
11,8,4.900597655
11,10,-0.002598598
11,11,-301.1966982
11,14,2.912068881
11,131,79.44038403
12,10,56.37469266
12,16,-56.37469266
12,134,-538.1972992
13,9,56.37469266
13,10,1.705189885
13,13,-296.1390109
13,14,0.231000927
13,15,-56.37469266
13,16,1.017937009
13,133,79.43612164
14,11,1.705189885
14,13,-0.000365951
14,14,-296.1573859
14,17,1.017937009
14,134,79.43612164
15,13,33.28269543
15,19,-33.28269543
15,137,-538.1972992
16,12,33.28269543
16,13,0.587953354
16,16,-294.3813438
16,17,0.475845095
16,18,-33.28269543
16,19,0.361200143
16,136,79.43689038
17,14,0.587953354
17,16,0.000208436
17,17,-294.3695081
17,20,0.361200143
17,137,79.43689038
18,16,19.64955619
18,22,-19.64955619
18,140,-538.1972992
19,15,19.64955619
19,16,0.210460416
19,19,-293.7810075
19,20,-0.258478379
19,21,-19.64955619
19,22,0.120369673
19,139,79.43949215
20,17,0.210460416
20,19,3.98E-05
20,20,-293.7126298
20,23,0.120369673
20,140,79.43949215
21,19,14.48299703
21,25,-14.48299703
21,143,-538.1972992
22,18,14.48299703
22,19,0.106042431
22,22,-293.604476
22,23,-2.055929714
22,24,-14.48299703
22,25,0.062664787
22,142,79.43797984
23,20,0.106042431
23,22,-8.92E-05
23,23,-293.5716954
23,26,0.062664787
23,143,79.43797984
24,22,14.10456936
24,28,-14.10456936
24,146,-538.1972992
25,21,14.10456936
25,22,0.089465754
25,25,-293.5771265
25,26,-1.831677043
25,27,-14.10456936
25,28,0.07000913
25,145,79.4361766
26,23,0.089465754
26,25,-7.61E-05
26,26,-293.5936411
26,29,0.07000913
