i_index,j_index,value
0.0,4.0,-538.1972992439868
0.0,122.0,-538.1972992439868
1.0,1.0,-585.7418735261012
1.0,2.0,0.29593946781843855
1.0,4.0,80.1127629358899
1.0,121.0,80.11341155363435
2.0,1.0,0.296477449925341
2.0,2.0,-585.739981362865
2.0,5.0,80.1127629358899
2.0,122.0,80.11341155363435
3.0,1.0,273.95632662782646
3.0,7.0,-273.95632662782646
3.0,125.0,-538.1972992439868
4.0,0.0,273.95632662782646
4.0,1.0,39.87232710200624
4.0,4.0,-357.95183219147674
4.0,5.0,0.7552956135395682
4.0,6.0,-273.95632662782646
4.0,7.0,24.435249594578714
4.0,124.0,79.73303908897752
5.0,2.0,39.87232710200624
5.0,4.0,-0.33730266861645963
5.0,5.0,-356.9770480898432
5.0,8.0,24.435249594578714
5.0,125.0,79.73303908897752
6.0,4.0,161.73930904441053
6.0,10.0,-161.73930904441053
6.0,128.0,-538.1972992439868
7.0,3.0,161.73930904441053
7.0,4.0,14.020711360804745
7.0,7.0,-316.15075913124986
7.0,8.0,0.40431474619199015
7.0,9.0,-161.73930904441053
7.0,10.0,8.39387160306421
7.0,127.0,79.45076803067887
8.0,5.0,14.020711360804745
8.0,7.0,-0.08794883847320545
8.0,8.0,-315.6073125352958
8.0,11.0,8.39387160306421
8.0,128.0,79.45076803067887
9.0,7.0,95.48824491847488
9.0,13.0,-95.48824491847488
9.0,131.0,-538.1972992439868
10.0,6.0,95.48824491847488
10.0,7.0,4.900597654858275
10.0,10.0,-301.26776879732483
10.0,11.0,0.2033322842896318
10.0,12.0,-95.48824491847488
10.0,13.0,2.912068880590808
10.0,130.0,79.44038403263504
11.0,8.0,4.900597654858275
11.0,10.0,-0.002598598213553627
11.0,11.0,-301.1966981802107
11.0,14.0,2.912068880590808
11.0,131.0,79.44038403263504
12.0,10.0,56.374692660423776
12.0,16.0,-56.374692660423776
12.0,134.0,-538.1972992439868
13.0,9.0,56.374692660423776
13.0,10.0,1.7051898845041467
13.0,13.0,-296.1390108888427
13.0,14.0,0.2310009267840593
13.0,15.0,-56.374692660423776
13.0,16.0,1.0179370086004513
13.0,133.0,79.4361216357439
14.0,11.0,1.7051898845041467
14.0,13.0,-0.0003659505886429029
14.0,14.0,-296.15738593363466
14.0,17.0,1.0179370086004513
14.0,134.0,79.4361216357439
15.0,13.0,33.28269543313616
15.0,19.0,-33.28269543313616
15.0,137.0,-538.1972992439868
16.0,12.0,33.28269543313616
16.0,13.0,0.5879533544675536
16.0,16.0,-294.38134380319485
16.0,17.0,0.4758450952372121
16.0,18.0,-33.28269543313616
16.0,19.0,0.3612001425723433
16.0,136.0,79.43689037949035
17.0,14.0,0.5879533544675536
17.0,16.0,0.00020843593537690433
17.0,17.0,-294.3695080634505
17.0,20.0,0.3612001425723433
17.0,137.0,79.43689037949035
18.0,16.0,19.649556193894714
18.0,22.0,-19.649556193894714
18.0,140.0,-538.1972992439868
19.0,15.0,19.649556193894714
19.0,16.0,0.210460416009727
19.0,19.0,-293.781007504264
19.0,20.0,-0.2584783793408856
19.0,21.0,-19.649556193894714
19.0,22.0,0.12036967337098932
19.0,139.0,79.43949214575069
20.0,17.0,0.210460416009727
20.0,19.0,3.977605800015103e-05
20.0,20.0,-293.7126297725354
20.0,23.0,0.12036967337098932
20.0,140.0,79.43949214575069
21.0,19.0,14.482997027601032
21.0,25.0,-14.482997027601032
21.0,143.0,-538.1972992439868
22.0,18.0,14.482997027601032
22.0,19.0,0.10604243057658268
22.0,22.0,-293.6044760283635
22.0,23.0,-2.0559297137796095
22.0,24.0,-14.482997027601032
22.0,25.0,0.06266478714551653
22.0,142.0,79.43797983749492
23.0,20.0,0.10604243057658268
23.0,22.0,-8.92220832201268e-05
23.0,23.0,-293.57169537769045
23.0,26.0,0.06266478714551653
23.0,143.0,79.43797983749492
24.0,22.0,14.104569360935125
24.0,28.0,-14.104569360935125
24.0,146.0,-538.1972992439868
25.0,21.0,14.104569360935125
25.0,22.0,0.08946575388182083
25.0,25.0,-293.5771265150018
25.0,26.0,-1.8316770430726526
25.0,27.0,-14.104569360935125
25.0,28.0,0.07000912992160611
25.0,145.0,79.43617659675611
26.0,23.0,0.08946575388182083
26.0,25.0,-7.608563091539306e-05
26.0,26.0,-293.5936411155281
26.0,29.0,0.07000912992160611
26.0,146.0,79.43617659675611
27.0,25.0,14.77009325718753
27.0,31.0,-14.77009325718753
27.0,149.0,-538.1972992439868
28.0,24.0,14.77009325718753
28.0,25.0,0.09656036392927221
28.0,28.0,-293.5821122899397
28.0,29.0,-1.2397704141857608
28.0,30.0,-14.77009325718753
28.0,31.0,0.077964159931541
28.0,148.0,79.43507658838017
29.0,26.0,0.09656036392927221
29.0,28.0,-6.80658007725839e-07
