i_index,j_index,value
0.0,4.0,-109177.15136301193
0.0,182.0,-109177.15136301193
1.0,1.0,-23056332.81518897
1.0,2.0,0.2652906469583885
1.0,3.0,-109177.15136301193
1.0,4.0,3367771.3867811933
1.0,181.0,3367771.387110926
2.0,1.0,0.26668920686791
2.0,2.0,-23056332.813350406
2.0,5.0,3367771.3867811933
2.0,180.0,-109177.15136301193
2.0,182.0,3367771.387110926
3.0,1.0,63651.99796130509
3.0,7.0,-63651.99796130509
3.0,185.0,-109177.15136301193
4.0,0.0,63651.99796130509
4.0,1.0,1963462.876923368
4.0,4.0,-14871353.171725536
4.0,5.0,0.6591428567173027
4.0,6.0,-63651.99796130509
4.0,7.0,1379723.274645176
4.0,184.0,3367771.093205996
5.0,2.0,1963462.876923368
5.0,4.0,-0.30509359378795486
5.0,5.0,-14871352.357320145
5.0,8.0,1379723.274645176
5.0,183.0,-109177.15136301193
5.0,185.0,3367771.093205996
6.0,4.0,44728.169823844066
6.0,10.0,-44728.169823844066
6.0,188.0,-109177.15136301193
7.0,3.0,44728.169823844066
7.0,4.0,969529.1193858715
7.0,7.0,-13178983.235470459
7.0,8.0,0.4756368227451483
7.0,9.0,-44728.169823844066
7.0,10.0,681286.9958810385
7.0,187.0,3367770.8638084233
8.0,5.0,969529.1193858715
8.0,7.0,-0.10179268161316185
8.0,8.0,-13178982.645491535
8.0,11.0,681286.9958810385
8.0,186.0,-109177.15136301193
8.0,188.0,3367770.8638084233
9.0,7.0,31430.419355285016
9.0,13.0,-31430.419355285016
9.0,191.0,-109177.15136301193
10.0,6.0,31430.419355285016
10.0,7.0,478739.2537587352
10.0,10.0,-12343315.597472534
10.0,11.0,0.3513866692086453
10.0,12.0,-31430.419355285016
10.0,13.0,336409.4198503806
10.0,190.0,3367770.844739871
11.0,8.0,478739.2537587352
11.0,10.0,-0.008002819789057378
11.0,11.0,-12343315.431879422
11.0,14.0,336409.4198503806
11.0,189.0,-109177.15136301193
11.0,191.0,3367770.844739871
12.0,10.0,22086.109239171612
12.0,16.0,-22086.109239171612
12.0,194.0,-109177.15136301193
13.0,9.0,22086.109239171612
13.0,10.0,236394.36060138434
13.0,13.0,-11930675.23552892
13.0,14.0,0.2675069594112539
13.0,15.0,-22086.109239171612
13.0,16.0,166113.9988359294
13.0,193.0,3367770.8360097157
14.0,11.0,236394.36060138434
14.0,13.0,-0.002964704588707764
14.0,14.0,-11930675.180645298
14.0,17.0,166113.9988359294
14.0,192.0,-109177.15136301193
14.0,194.0,3367770.8360097157
15.0,13.0,15519.878499565024
15.0,19.0,-15519.878499565024
15.0,197.0,-109177.15136301193
16.0,12.0,15519.878499565024
16.0,13.0,116728.05725240234
16.0,16.0,-11726919.574545845
16.0,17.0,0.19035254562777193
16.0,18.0,-15519.878499565024
16.0,19.0,82024.65916342397
16.0,196.0,3367770.830084596
17.0,14.0,116728.05725240234
17.0,16.0,-0.0014841957540037616
17.0,17.0,-11726919.54999773
17.0,20.0,82024.65916342397
17.0,195.0,-109177.15136301193
17.0,197.0,3367770.830084596
18.0,16.0,10905.796063076037
18.0,22.0,-10905.796063076037
18.0,200.0,-109177.15136301193
19.0,15.0,10905.796063076037
19.0,16.0,57638.59820065749
19.0,19.0,-11626308.033174373
19.0,20.0,0.12238867548514805
19.0,21.0,-10905.796063076037
19.0,22.0,40502.56777430367
19.0,199.0,3367770.825568896
20.0,17.0,57638.59820065749
20.0,19.0,-0.0007360539441785466
20.0,20.0,-11626308.02058252
20.0,23.0,40502.56777430367
20.0,198.0,-109177.15136301193
20.0,200.0,3367770.825568896
21.0,19.0,7663.4853149797855
21.0,25.0,-7663.4853149797855
21.0,203.0,-109177.15136301193
22.0,18.0,7663.4853149797855
22.0,19.0,28461.08406816336
22.0,22.0,-11576627.507698553
22.0,23.0,0.06497437665669238
22.0,24.0,-7663.4853149797855
22.0,25.0,19999.557632223085
22.0,202.0,3367770.8227160117
23.0,20.0,28461.08406816336
23.0,22.0,-0.00026144576866684005
23.0,23.0,-11576627.500114154
23.0,26.0,19999.557632223085
23.0,201.0,-109177.15136301193
23.0,203.0,3367770.8227160117
24.0,22.0,5385.11943003813
24.0,28.0,-5385.11943003813
24.0,206.0,-109177.15136301193
25.0,21.0,5385.11943003813
25.0,22.0,14053.656642582206
25.0,25.0,-11552096.007939095
25.0,26.0,0.020108357425035212
25.0,27.0,-5385.11943003813
25.0,28.0,9875.486185506934
25.0,205.0,3367770.821844232
26.0,23.0,14053.656642582206
26.0,25.0,-1.268250017151877e-05
26.0,26.0,-11552096.002773415
26.0,29.0,9875.486185506934
26.0,204.0,-109177.15136301193
26.0,206.0,3367770.821844232
27.0,25.0,3784.116739348473
27.0,31.0,-3784.116739348473
27.0,209.0,-109177.15136301193
28.0,24.0,3784.116739348473
28.0,25.0,6939.491436947319
28.0,28.0,-11539982.728642035
28.0,29.0,-0.012846438455817483
28.0,30.0,-3784.116739348473
28.0,31.0,4876.372718392684
28.0,208.0,3367770.8224588884
29.0,26.0,6939.491436947319
29.0,28.0,6.522152101278702e-05
29.0,29.0,-11539982.725100357
29.0,32.0,4876.372718392684
29.0,207.0,-109177.15136301193
29.0,209.0,3367770.8224588884
30.0,28.0,2659.0931748390294
30.0,34.0,-2659.0931748390294
30.0,212.0,-109177.15136301193
31.0,27.0,2659.0931748390294
31.0,28.0,3426.620000983567
31.0,31.0,-11534001.36366427
31.0,32.0,-0.03434811404547461
31.0,33.0,-2659.0931748390294
31.0,34.0,2407.879577261182
31.0,211.0,3367770.823725966
32.0,29.0,3426.620000983567
32.0,31.0,6.154045720924653e-05
32.0,32.0,-11534001.361489743
32.0,35.0,2407.879577261182
32.0,210.0,-109177.15136301193
32.0,212.0,3367770.823725966
33.0,31.0,1868.5406579814755
33.0,37.0,-1868.5406579814755
33.0,215.0,-109177.15136301193
34.0,30.0,1868.5406579814755
34.0,31.0,1692.0135962318093
34.0,34.0,-11531047.85267107
